node_id,row,col,degree,type,bfs_depth_from_root
2183,571.0,260.75,3,junction,6
2184,570.6666666666666,443.6666666666667,3,junction,8
2185,570.0,706.0,3,junction,23
2186,572.0,160.75,3,junction,13
2187,571.0,326.0,1,endpoint,4
2188,573.0,108.75,3,junction,17
2189,572.0,158.0,1,endpoint,14
2190,572.0,437.0,1,endpoint,8
2191,574.6666666666666,187.33333333333334,3,junction,10
2192,574.0,439.0,3,junction,7
2193,574.0,448.0,1,endpoint,9
2194,574.0,579.0,1,endpoint,17
2195,574.0,711.0,1,endpoint,24
2196,576.0,70.75,3,junction,20
2197,575.6666666666666,352.3333333333333,3,junction,6
2198,575.0,421.0,1,endpoint,7
2199,575.0,484.0,1,endpoint,13
2200,577.0,52.0,4,junction,21
2201,577.0,48.0,1,endpoint,22
2202,577.0,222.0,1,endpoint,9
2203,577.6666666666666,484.3333333333333,3,junction,12
2204,577.3333333333334,670.3333333333334,3,junction,19
2205,577.0,676.0,3,junction,20
2206,578.75,110.0,3,junction,16
2207,579.0,348.0,2,junction,7
2208,579.0,587.3333333333334,4,junction,16
2209,579.3333333333334,280.3333333333333,3,junction,5
2210,579.3333333333334,406.3333333333333,3,junction,6
2211,580.5,481.0,4,junction,11
2212,579.0,593.0,1,endpoint,17
2213,579.3333333333334,679.3333333333334,3,junction,21
2214,580.75,133.0,3,junction,14
2215,581.0,59.0,1,endpoint,22
2216,581.3333333333334,121.66666666666667,3,junction,15
2217,581.75,161.0,3,junction,12
2218,581.3333333333334,176.66666666666666,3,junction,11
2219,583.0,72.0,3,junction,19
2220,583.0,547.0,1,endpoint,13
2221,583.0,576.0,1,endpoint,16
2222,583.0,679.0,1,endpoint,22
2223,583.0,687.0,3,junction,21
2224,584.0,347.0,1,endpoint,8
2225,584.0,478.0,3,junction,11
2226,585.3333333333334,227.33333333333334,3,junction,8
2227,586.0,658.75,3,junction,18
2228,587.625,152.75,4,junction,13
2229,587.0,481.0,1,endpoint,12
2230,587.3333333333334,534.3333333333334,3,junction,12
2231,588.3333333333334,583.6666666666666,3,junction,15
2232,589.6666666666666,120.33333333333333,3,junction,16
2233,590.4,251.2,2,junction,8
2234,589.0,309.0,3,junction,4
2235,589.6666666666666,324.6666666666667,3,junction,3
2236,590.8888888888889,685.3333333333334,3,junction,20
2237,590.0,72.0,3,junction,19
2238,590.0,271.0,3,junction,6
2239,591.4,372.0,4,junction,5
2240,590.3333333333334,468.3333333333333,3,junction,10
2241,590.6666666666666,641.3333333333334,3,junction,17
2242,591.0,559.0,1,endpoint,14
2243,592.0,184.0,1,endpoint,13
2244,592.6666666666666,583.6666666666666,3,junction,14
